"assigned","ref_c","ref_reg","ref_yr","DOY_074","DOY_079","DOY_084","DOY_089","DOY_094","DOY_099","DOY_104","DOY_109","DOY_114","DOY_119","DOY_124","DOY_129","DOY_134","DOY_139","DOY_144","DOY_149","DOY_154","DOY_159","DOY_164","DOY_169","DOY_174","DOY_179","DOY_184","DOY_189","DOY_194","DOY_199","DOY_204","DOY_209","DOY_214","DOY_219","DOY_224","DOY_229","DOY_234","DOY_239","DOY_244","DOY_249","DOY_254","DOY_max"
1,"AT","AT",2001,0.444735556486602,0.472291301673649,0.506537141815493,0.544464378379205,0.583499285650338,0.621478226666222,0.656622769149315,0.687514801440505,0.713071648432469,0.732521187502967,0.745376964448192,0.751413309416076,0.750640452839636,0.743279641370275,0.729738253811158,0.710584917050478,0.686524621994802,0.658373839502441,0.627035636316696,0.593474790999249,0.558692909863486,0.523703542907791,0.489507299748874,0.457066965555109,0.427282616979924,0.400966738094991,0.378819336323615,0.361403058374193,0.349118306173243,0.342178352799114,0.340584458414862,NA,NA,NA,NA,NA,NA,130.777299925206
2,"AT","AT",2001,0.297553505038415,0.30234532790184,0.302857834698789,0.301286722768519,0.299461408002928,0.298868174687276,0.300673325340882,0.305746330557841,0.314682978847714,0.327828526476252,0.345300847306091,0.367013582637473,0.392699291048933,0.421932598238033,0.454153346862023,0.488689746378599,0.524781522886596,0.561603068966659,0.598286593522007,0.633945271619101,0.667696394328343,0.698684518564813,0.726104616928974,0.749225227547372,0.767411603913285,0.780148864727546,0.7870651437392,0.787954739586095,0.782801265635842,0.771800799826198,0.755385034506151,NA,NA,NA,NA,NA,NA,207.293855743544
1,"BE","BE2",2001,0.425147953706863,0.436562224418094,0.452374088268171,0.471690354993309,0.493643682534592,0.517396865533524,0.542147123827579,0.567130390945755,0.591625602604121,0.61495898520137,0.636508344314371,0.655707353193718,0.672049841259282,0.685094082595758,0.694467084448227,0.699868875717693,0.701076795456641,0.697949781364594,0.690432658283645,0.678560426694031,0.662462551209673,0.64236724907372,0.618605778654113,0.59161672793912,0.561950303032918,0.530272616651102,0.497369976616263,0.464153174353544,0.431661773386156,0.401068397830979,0.37368302089407,NA,NA,NA,NA,NA,NA,151.595505617978
2,"BE","BE2",2001,0.333024528850014,0.336906023910468,0.333723653803857,0.326329951044311,0.317135060851322,0.308133993136287,0.300933874489015,0.296781200164263,0.296589086068235,0.300964520745124,0.310235617363623,0.324478865703459,0.343546384141895,0.367093171640278,0.394604359730514,0.425422464501644,0.458774638586351,0.493799923147438,0.529576499864423,0.565148942920006,0.599555470986586,0.631855199212817,0.661155391210131,0.686638711039244,0.707590475196616,0.723425904601107,0.733717376580441,0.738221676857587,0.736907251537583,0.729981459093676,0.717917822354287,NA,NA,NA,NA,NA,NA,210.555110220441
1,"BE","BE3",2001,0.434162182402905,0.442983801678373,0.459834703256973,0.482865493891156,0.510372692913784,0.540796487879442,0.572718490205767,0.604859490814763,0.636077215774134,0.665364081938593,0.691844952591193,0.714774893084644,0.733536926482636,0.747639789201155,0.756715686649826,0.760518048873208,0.758919286192123,0.751908544844998,0.739589462629153,0.722177924542149,0.699999818423105,0.673488790594015,0.643184001501062,0.60972788135595,0.573863885777245,0.536434251431653,0.498377751675361,0.460727452195398,0.424608466650866,0.391235712314389,0.36191166571328,NA,NA,NA,NA,NA,NA,150.021671826625
2,"BE","BE3",2001,0.317792688628653,0.324820618731841,0.323564885461978,0.3171951948674,0.308391159186747,0.299372705669689,0.291930485397597,0.287456282104261,0.286973420996554,0.291167177575156,0.300415186455228,0.314817850187128,0.334228748077085,0.358285045007916,0.386437900259677,0.417982876330411,0.452090347756834,0.487835909934974,0.524230787940956,0.560252245351628,0.594873993065253,0.62709659812225,0.655977892525877,0.68066338206292,0.70041665512431,0.71464979152598,0.722953771329478,0.725128883662524,0.72121513554003,0.711522660684372,0.696662128346582,NA,NA,NA,NA,NA,NA,208.857570093458
1,"BG","BG31",2001,0.512747668334217,0.543707891354993,0.57510771126144,0.605662182317474,0.63429245299319,0.660113715532858,0.682423155522948,0.700687901460134,0.71453297431932,0.723729237121638,0.728181344502474,0.72791569227947,0.723068367020547,0.713873095611905,0.700649194826062,0.683789520889837,0.663748419052372,0.641029673153165,0.61617445519005,0.589749274887234,0.562333929263313,0.534509452199267,0.506846064006477,0.479891120994743,0.454157065040323,0.430109373153887,0.408154507048557,0.388627862707983,0.371781719954218,0.357773192015907,0.346652175096094,0.338349297940446,0.332663871405135,0.329251838024833,0.327613721580864,0.327082576669074,0.326811938267876,126.729031809007
2,"BG","BG31",2001,0.311291620579394,0.312059222721207,0.308938304639633,0.30432856732353,0.300182060063322,0.29803410558723,0.299034225197443,0.303977063906336,0.313333315572643,0.327280648037678,0.345734628261511,0.36837964745919,0.394699846236913,0.42401003972825,0.455486642730298,0.488198594839928,0.521138285589969,0.553252479585366,0.583473241639442,0.610748861910048,0.634074781035755,0.65252451527208,0.665280581627687,0.671665423000576,0.671172333314206,0.663496382653836,0.64856534240266,0.626570610377866,0.597998135967136,0.563659345264455,0.524722066206764,0.482741453709693,0.439690914804043,0.397993033772029,0.36055049728317,0.330777019530791,0.312628267368166,190.590953785644
1,"BG","BG32",2001,0.612978640759201,0.646706825861665,0.677354003241468,0.704289925862236,0.727030928038458,0.745230093226791,0.758667421817385,0.767239998925202,0.770952162181336,0.769905669524329,0.764289866991495,0.754371856510229,0.740486663689339,0.723027405610354,0.702435458618855,0.679190626115783,0.653801306348756,0.626794660203406,0.598706778994675,0.570072852258148,0.541417335541378,0.513244118195188,0.486026691164997,0.46019831478214,0.436142186555203,0.414181608961306,0.394570157237439,0.377481847171822,0.36300130289513,0.351113924671935,0.341696056691882,0.334505154861152,0.329169954593691,0.32518063860252,0.321879004691146,0.318448633544783,0.313905056521692,115.146609488073
2,"BG","BG32",2001,0.31017545926359,0.312171295237235,0.309197409234781,0.304014356452166,0.298880242012822,0.295585048043573,0.295484960750483,0.299536697494734,0.308331833868473,0.322131130770697,0.340898861483101,0.364337138745969,0.391920241834009,0.422928943632252,0.456484837711865,0.491584665406075,0.527134642886023,0.561984788236576,0.59496324853228,0.624910626913157,0.650714309660574,0.671342793273145,0.68588001154259,0.693559662629595,0.693799536139601,0.686235840198824,0.670757528530056,0.647540627528367,0.61708256333732,0.580236488924397,0.538245611157378,0.492777517879681,0.445958504986552,0.400407903500981,0.359272406649219,0.326260396936996,0.305676273225319,191.36837944664
